Species Name,Description
Elassomatidae,"Elassoma is a genus of freshwater fish, the only member of family Elassomatidae in the order Centrarchiformes. The type species is E. zonatum, the banded pygmy sunfish. The Elassomatidae are known collectively as pygmy sunfishes, and are thought to be closely related to the true freshwater sunfishes in Centrarchidae. In the past, researchers believed they were related to sticklebacks and pipefishes (order Syngnathiformes) rather than Centrarchiformes, though genetic research strongly implies a close relationship with the centrarchids."
Eleotridae,"Eleotridae is a family of fish commonly known as sleeper gobies, with about 34 genera and 180 species. Most species are found in the tropical Indo-Pacific region, but there are also species in subtropical and temperate regions, warmer parts of the Americas and near the Atlantic coast in Africa. While many eleotrids pass through a planktonic stage in the sea and some spend their entire lives in the sea; as adults, the majority live in freshwater streams and brackish water. One of its genera, Caecieleotris, is troglobitic. They are especially important as predators in the freshwater stream ecosystems on oceanic islands such as New Zealand and Hawaii that otherwise lack the predatory fish families typical of nearby continents, such as catfish."
Elopidae,"The Elopidae are an ancient family of ray-finned fish, one of two living members of the order Elopiformes. They  containing a single living genus, Elops, and many extinct genera dating back to the Late Jurassic, when the earliest stem-group elopids are known. They appear to have diverged from their closest relatives, the Megalopidae, during the Jurassic."
Embiotocidae,"The surfperches are a family of viviparous ray-finned fishes, the Embiotocidae. Most species are marine, inhabiting coastal waters from Baja California to Alaska, with a few found in Asian Pacific coasts. The only freshwater species, the tule perch (Hysterocarpus traski), is endemic to California, United States."
Emmelichthyidae,"Emmelichthyidae is a small family of small to medium-sized marine ray-finned fishes known commonly as redbaits, rovers, bonnetmouths or rubyfishes. The Emmelichthyidae are poorly known even among researchers who work in fish taxonomy, and as a result much is unknown about species in the family, such as how they feed, breed, and otherwise behave. The most recently discovered species of the family, the papillated redbait (Emmelichthys papillatus). was not identified and described until 2024."
Engraulidae,"Anchovies are small, common forage fishes of the family Engraulidae. Most species are found in marine waters, but several will enter brackish water, and some in South America are restricted to fresh water. More than 140 species are placed in 16 genera; they are found in the Atlantic, Indian and Pacific Oceans, and in the Black Sea and the Mediterranean Sea. Anchovies are usually classified as oily fish."
Enoplosidae,"Enoplosus armatus, commonly referred to as the old wife (plural: old wives), is a species of centrarchiform ray-finned fish endemic to the temperate coastal waters of Australia. It is the only genus and species in the family Enoplosidae. It has a deep and compressed body and concave forehead. These features are characteristic of typical butterflyfishes. However, the old wife is easily distinguished by its silver-and-black, vertical, zebra-striped coloration, and by its two prominent dorsal fins."
Ephippidae,"Ephippidae is a family of percomorph fishes in the suborder Moronoidei of the order Acanthuriformes. These fishes, commonly known as spadefishes, are found in the tropical and temperate oceans of the world, except for the central Pacific."
Epigonidae,"Epigonidae, the deepwater cardinalfishes, are a family of acropomatiform ray-finned fishes. The family includes about 43 species. Despite their name, they are not closely related to the true cardinalfishes of the family Apogonidae. They are small fishes: the largest, Epigonus telescopus, reaches 75 cm (30 in) in length, and most grow to no more than 20 cm (7.9 in) or so. They are found in temperate and tropical oceans throughout the world."
Erythrinidae,"The Erythrinidae are a family of fishes found in rivers and other freshwater habitats from Costa Rica south as far as Argentina. They are common and are caught with hooks by fishermen, partially because of their voracious behaviour. They are sometimes called trahiras (also spelled trairas) or tarariras. The Erythrinidae include cylindrical fish with blunt heads, and prey on other fish. They can reach lengths up to 90 cm (35 in)."
Esocidae,"Esocidae is a family of ray-finned fish in the order Salmoniformes, which contains pike, pickerel, and mudminnows. While the family traditionally only contained the genus Esox, recent genetic and paleontological research have recovered Novumbra and Dallia as members of the family Esocidae, being closer related to Esox than Umbra. Fossil specimens from the Mesozoic in North America have been assigned as two additional genera in this family, although they may actually be more basal."
Etmopteridae,"The Etmopteridae are a family of sharks in the order Squaliformes, commonly known as lantern sharks. Their name comes from the presence of light-producing photophores on their bodies. The members of this family are small, under 90 cm (35 in) long, and are found in deep waters worldwide. The 45 species are  placed in five genera. Three-quarters of the species are in the genus Etmopterus."
Eurypharyngidae,"The pelican eel (Eurypharynx pelecanoides) is a deep-sea eel. It is the only known member of the genus Eurypharynx and the family Eurypharyngidae. The species belongs to the ""saccopharyngiforms"", members of which were historically placed in their own order, but are now considered true eels in the order Anguilliformes. The pelican eel has been described by many synonyms, yet nobody has been able to demonstrate that more than one species of pelican eel exists. It is also referred to as the gulper eel (which can also refer to members of the related genus Saccopharynx), pelican gulper, and umbrella-mouth gulper."
Exocoetidae,"The Exocoetidae are a family of saltwater ray-finned fish in the order Beloniformes, known colloquially as flying fish or flying cod, with about 64 species in seven genera. While they do not ""fly"" in the same way a bird does, flying fish can make powerful leaps out of the water where their long, wing-like paired fins act as aerofoils to generate lift and enable prolonged gliding for considerable distances above the water surface. The main reason for this behavior is thought to be to escape from underwater predators, which include swordfish, mackerel, tuna, and marlin, among others, though their periods of flight expose them to attack by aerial predators such as frigatebirds. Barbados is known as ""the land of the flying fish"" and the fish is one of the national symbols of the country. The French Exocet anti-ship missile is also named after them, as the missile can be launched from underwater, and take a low, sea-skimming trajectory before striking the targets."
Fistulariidae,"The cornetfishes or flutemouths are a small family, the Fistulariidae, of extremely elongated fish in the order Syngnathiformes. The family consists of a single genus, Fistularia, with four species, found worldwide in tropical and subtropical marine environments. Ranging up to 2 m (6.6 ft) in length, cornetfishes are as thin and elongated as many eels, but are distinguished by very long snouts, distinct dorsal and anal fins, and  forked caudal fins whose center rays form a lengthy filament. The lateral line is well-developed and extends onto the caudal filament. Cornetfish are found in tropical and temperate marine waters around the world, in the Atlantic, Pacific, and Indian oceans."
Fundulidae,Fundulidae is the family of topminnows and North American killifishes.
Gadidae,"The Gadidae are a family of marine fish, included in the order Gadiformes, known as the cods, codfishes, or true cods. It contains several commercially important fishes, including the cod, haddock, whiting, and pollock. Most gadid species are found in temperate waters of the Northern Hemisphere, but several range into subtropical, subarctic, and Arctic oceans, and a single (southern blue whiting) is found in the Southern Hemisphere. They are generally medium-sized fish, and are distinguished by the presence of three dorsal fins on the back and two anal fins on the underside. Most species have barbels on their chins, which they use while browsing on the sea floor."
Gaidropsaridae,"Gaidropsaridae, the rocklings, are a small family of gadiform fish native to the marine temperate regions of both hemispheres. Species in this genus were formerly placed in the family Lotidae, but phylogenetic evidence affirms them forming their own family. The following genera are placed in this family:

Ciliata Couch, 1832
Enchelyopus Bloch & Schneider, 1801
Gaidropsarus Rafinesque, 1810"
Galaxiidae,"The Galaxiidae  are a family of mostly small freshwater fish in the Southern Hemisphere. The majority live in Southern Australia or New Zealand, but some are found in South Africa, southern South America, Lord Howe Island, New Caledonia, and the Falkland Islands. One galaxiid species, the common galaxias (Galaxias maculatus), is probably the most widely naturally distributed freshwater fish in the Southern Hemisphere. They are coolwater species, found in temperate latitudes, with only one species known from subtropical habitats. Many specialise in living in cold, high-altitude upland rivers, streams, and lakes."
Gasteropelecidae,"The freshwater hatchetfish are a family, Gasteropelecidae, of ray-finned fish from South and Central America. The common hatchetfish is the most popular member among fish keeping hobbyists. The family includes three genera: Carnegiella (four species), Gasteropelecus (three species), and Thoracocharax (two species)."
Gasterosteidae,"The sticklebacks are a family of ray-finned fishes, the Gasterosteidae which have a Holarctic distribution in fresh, brackish and marine waters. They were thought to be related to the pipefish and seahorses but are now thought to be more closely related to the eelpouts and sculpins."
Gastromyzontidae,"The Gastromyzontidae are a family of loaches native to China and Southeast Asia, where typically found in streams and rivers with a fast current. The family includes about 137 species in eighteen genera. This family was resurrected by M. Kottelat in his review and revision of the loaches in 2012. They are commonly called hillstream loaches (a name shared with Balitoridae)."
